source,title,authors,subfield,published
arxiv,"Kurt Lewin, psychological constructs and sources of brain cognitive activity",Włodzisław Duch,,2017-11-06T07:58:14Z
arxiv,Nondistributivity of human logic and violation of response replicability effect in cognitive psychology,"Masanao Ozawa, Andrei Khrennikov",,2022-08-27T07:13:21Z
arxiv,How do Visualization Designers Think? Design Cognition as a Core Aspect of Visualization Psychology,Paul Parsons,,2020-09-29T03:57:57Z
arxiv,"On selective influences, marginal selectivity, and Bell/CHSH inequalities","Ehtibar N. Dzhafarov, Janne V. Kujala",,2012-11-10T18:21:44Z
arxiv,Mind meets machine: Unravelling GPT-4's cognitive psychology,"Sifatkaur Dhingra, Manmeet Singh, Vaisakh SB, Neetiraj Malviya, Sukhpal Singh Gill",,2023-03-20T20:28:26Z
arxiv,On Dynamical Systems Theory in Quantitative Psychology and Cognition Science: A Fair Discrimination Between Deterministic and Statistical Counterparts Is Required,"Adam Gadomski, Marcel Ausloos, Tahlia Casey",,2017-06-27T21:32:13Z
arxiv,AI Through the Human Lens: Investigating Cognitive Theories in Machine Psychology,"Akash Kundu, Rishika Goswami",,2025-06-22T19:58:19Z
arxiv,"A Framework of Defining, Modeling, and Analyzing Cognition Mechanisms",Amir Fayezioghani,,2023-11-13T12:31:46Z
arxiv,Advancing Perception in Artificial Intelligence through Principles of Cognitive Science,"Palaash Agrawal, Cheston Tan, Heena Rathore",,2023-10-13T01:21:55Z
arxiv,Using cognitive psychology to understand GPT-3,"Marcel Binz, Eric Schulz",,2022-06-21T20:06:03Z
arxiv,Psychology of Artificial Intelligence: Epistemological Markers of the Cognitive Analysis of Neural Networks,Michael Pichat,,2024-07-04T12:53:05Z
arxiv,Improving Language Models for Emotion Analysis: Insights from Cognitive Science,"Constant Bonard, Gustave Cortal",,2024-06-11T07:42:13Z
arxiv,Cognitive Psychology for Deep Neural Networks: A Shape Bias Case Study,"Samuel Ritter, David G. T. Barrett, Adam Santoro, Matt M. Botvinick",,2017-06-26T21:31:18Z
arxiv,Self-Emotion-Mediated Exploration in Artificial Intelligence Mirrors: Findings from Cognitive Psychology,"Gustavo Assunção, Miguel Castelo-Branco, Paulo Menezes",,2023-02-13T18:20:44Z
arxiv,The Import and Export of Cognitive Science,"Rob Goldstone, Loet Leydesdorff",,2009-11-18T20:00:02Z
arxiv,False positives using social cognitive mapping to identify childrens' peer groups,"Zachary Neal, Jennifer Watling Neal, Rachel Domagalski",,2019-11-13T18:23:45Z
arxiv,Applying Quantum Principles to Psychology,"Jerome R Busemeyer, Zheng Wang, Andrei Khrennikov, Irina Basieva",,2014-05-25T20:30:58Z
arxiv,A model of quantum-like decision-making with applications to psychology and cognitive science,Andrei Khrennikov,,2007-11-08T21:17:26Z
arxiv,Exploring the Psychological Basis for Transitions in the Archaeological Record,"Liane Gabora, Cameron M. Smith",,2018-12-13T23:09:31Z
arxiv,Games Agents Play: Towards Transactional Analysis in LLM-based Multi-Agent Systems,"Monika Zamojska, Jarosław A. Chudziak",,2025-07-28T21:46:21Z
arxiv,Psychological Assessments with Large Language Models: A Privacy-Focused and Cost-Effective Approach,Sergi Blanco-Cuaresma,,2024-02-05T19:00:02Z
arxiv,Interdisciplinary Methods in Computational Creativity: How Human Variables Shape Human-Inspired AI Research,"Nadia M. Ady, Faun Rice",,2023-06-29T16:17:04Z
arxiv,Psychological State in Text: A Limitation of Sentiment Analysis,"Hwiyeol Jo, Jeong Ryu",,2018-06-03T08:52:23Z
arxiv,A Multi-Component AI Framework for Computational Psychology: From Robust Predictive Modeling to Deployed Generative Dialogue,Anant Pareek,,2025-09-16T13:33:40Z
arxiv,Computer applications in clinical psychology,Alina Oana Zamoşteanu,,2012-02-27T14:19:14Z
arxiv,The Gestalt Computational Model by Persistent Homology,"Yu Chen, Hongwei Lin, Jiacong Yan",,2024-05-31T02:31:28Z
arxiv,Computer Administering of the Psychological Investigations: Set-relational Representation,"Krasimir Yordzhev, Ivelina Peneva",,2012-07-03T12:54:41Z
arxiv,Understanding and Countering Stereotypes: A Computational Approach to the Stereotype Content Model,"Kathleen C. Fraser, Isar Nejadgholi, Svetlana Kiritchenko",,2021-06-04T16:53:37Z
arxiv,Computational Emotion Analysis From Images: Recent Advances and Future Directions,"Sicheng Zhao, Quanwei Huang, Youbao Tang, Xingxu Yao, Jufeng Yang, Guiguang Ding, Björn W. Schuller",,2021-03-19T13:33:34Z
arxiv,Computational Psychology to Embed Emotions into News or Advertisements to Increase Reader Affinity,"Hrishikesh Kulkarni, P Joshi, P Chande",,2019-10-14T16:12:21Z
arxiv,"Time Perception: A Review on Psychological, Computational and Robotic Models","Hamit Basgol, Inci Ayhan, Emre Ugur",,2020-07-23T08:16:47Z
arxiv,Machine Psychology,"Thilo Hagendorff, Ishita Dasgupta, Marcel Binz, Stephanie C. Y. Chan, Andrew Lampinen, Jane X. Wang, Zeynep Akata, Eric Schulz",,2023-03-24T13:24:41Z
arxiv,Towards the development of Dynamic Networked Psychology Hypotheses,Liaquat Hossain,,2023-01-15T16:25:49Z
arxiv,From Prompts to Constructs: A Dual-Validity Framework for LLM Research in Psychology,Zhicheng Lin,,2025-06-20T02:38:42Z
arxiv,Honing Theory: A Complex Systems Framework for Creativity,Liane Gabora,,2016-10-08T04:40:41Z
arxiv,What we really want to find by Sentiment Analysis: The Relationship between Computational Models and Psychological State,"Hwiyeol Jo, Soo-Min Kim, Jeong Ryu",,2017-04-11T16:42:55Z
arxiv,Automating psychological hypothesis generation with AI: when large language models meet causal graph,"Song Tong, Kai Mao, Zhen Huang, Yukun Zhao, Kaiping Peng",,2024-02-22T10:12:16Z
arxiv,Surveying the Dead Minds: Historical-Psychological Text Analysis with Contextualized Construct Representation (CCR) for Classical Chinese,"Yuqi Chen, Sixuan Li, Ying Li, Mohammad Atari",,2024-03-01T13:14:45Z
arxiv,A validity-guided workflow for robust large language model research in psychology,Zhicheng Lin,,2025-07-06T18:06:12Z
arxiv,A Proposal for Extending the Common Model of Cognition to Emotion,"Paul S. Rosenbloom, John E. Laird, Christian Lebiere, Andrea Stocco, Richard H. Granger, Christian Huyck",,2024-12-19T00:54:32Z
arxiv,A Computational Model for Situated Task Learning with Interactive Instruction,"Shiwali Mohan, James Kirk, John Laird",,2016-04-23T02:23:14Z
arxiv,Neural Models of the Psychosemantics of `Most',"Lewis O'Sullivan, Shane Steinert-Threlkeld",,2019-04-04T18:14:23Z
arxiv,Cognitive Modeling of Semantic Fluency Using Transformers,"Animesh Nighojkar, Anna Khlyzova, John Licato",,2022-08-20T16:48:04Z
arxiv,Enhancing Cognitive Models of Emotions with Representation Learning,"Yuting Guo, Jinho Choi",,2021-04-20T16:55:15Z
arxiv,Beyond DAGs: Modeling Causal Feedback with Fuzzy Cognitive Maps,"Osonde Osoba, Bart Kosko",,2019-06-26T16:27:01Z
arxiv,Modeling Human Behavior Part II -- Cognitive approaches and Uncertainty,"Andrew Fuchs, Andrea Passarella, Marco Conti",,2022-05-13T07:29:15Z
arxiv,Cognitive Modelling Aspects of Neurodevelopmental Disorders Using Standard and Oscillating Neighbourhood SOM Neural Networks,"Spyridon Revithis, Nadine Marcus",,2025-07-16T18:33:16Z
arxiv,A structural model of intuitive probability,Jean-Louis Dessalles,,2011-08-22T11:19:21Z
arxiv,Analogical Concept Memory for Architectures Implementing the Common Model of Cognition,"Shiwali Mohan, Matthew Klenk",,2022-10-21T04:39:07Z
arxiv,Spontaneous Speech Variables for Evaluating LLMs Cognitive Plausibility,"Sheng-Fu Wang, Laurent Prevot, Jou-an Chi, Ri-Sheng Huang, Shu-Kai Hsieh",,2025-05-22T06:23:02Z
arxiv,Characterizing an Analogical Concept Memory for Architectures Implementing the Common Model of Cognition,"Shiwali Mohan, Matt Klenk, Matthew Shreve, Kent Evans, Aaron Ang, John Maxwell",,2020-06-02T21:54:03Z
arxiv,What does Kiki look like? Cross-modal associations between speech sounds and visual shapes in vision-and-language models,"Tessa Verhoef, Kiana Shahrasbi, Tom Kouwenhoven",,2024-07-25T12:09:41Z
arxiv,Using a cognitive architecture to consider antiBlackness in design and development of AI systems,Christopher L. Dancy,,2022-07-01T19:39:13Z
arxiv,Active inference and deep generative modeling for cognitive ultrasound,Ruud JG van Sloun,,2024-10-17T08:09:14Z
arxiv,AAAI 2022 Fall Symposium: System-1 and System-2 realized within the Common Model of Cognition,"Brendan Conway-Smith, Robert L. West",,2023-05-16T01:28:06Z
arxiv,Modeling a Cognitive Transition at the Origin of Cultural Evolution using Autocatalytic Networks,"Liane Gabora, Mike Steel",,2020-07-03T20:19:11Z
arxiv,SpectrumFM: Redefining Spectrum Cognition via Foundation Modeling,"Chunyu Liu, Hao Zhang, Wei Wu, Fuhui Zhou, Qihui Wu, Derrick Wing Kwan Ng, Chan-Byoung Chae",,2025-08-02T14:40:50Z
arxiv,Towards Psychologically-Grounded Dynamic Preference Models,"Mihaela Curmei, Andreas Haupt, Dylan Hadfield-Menell, Benjamin Recht",,2022-08-01T16:53:58Z
arxiv,A Multi-Agent Psychological Simulation System for Human Behavior Modeling,"Xiangen Hu, Jiarui Tong, Sheng Xu",,2025-11-04T14:28:03Z
arxiv,Toward an adequate mathematical model of mental space: conscious/unconscious dynamics on $m$-adic trees,Andrei Khrennikov,,2006-10-05T09:58:23Z
arxiv,Evolvable Psychology Informed Neural Network for Memory Behavior Modeling,"Xiaoxuan Shen, Zhihai Hu, Qirong Chen, Shengyingjie Liu, Ruxia Liang, Jianwen Sun",,2024-08-23T01:35:32Z
arxiv,Large Language Models as Psychological Simulators: A Methodological Guide,Zhicheng Lin,,2025-06-20T02:45:23Z
arxiv,"Extending Mixture of Experts Model to Investigate Heterogeneity of Trajectories: When, Where and How to Add Which Covariates","Jin Liu, Robert A. Perera",,2020-07-05T19:43:34Z
arxiv,Appraisal-Guided Proximal Policy Optimization: Modeling Psychological Disorders in Dynamic Grid World,"Hari Prasad, Chinnu Jacob, Imthias Ahamed T. P",,2024-07-29T19:19:54Z
arxiv,Markov chain models for inspecting response dynamics in psychological testing,Andrea Bosco,,2024-03-24T17:52:36Z
arxiv,Research on dynamic analysis and prediction model of tennis match based on Bayesian probability and analytic Hierarchy process,Chuangqi Li,,2024-06-30T08:59:11Z
arxiv,Extending Growth Mixture Model to Assess Heterogeneity in Joint Development with Piecewise Linear Trajectories in the Framework of Individual Measurement Occasions,"Jin Liu, Robert A. Perera",,2020-10-23T15:32:17Z
arxiv,"Simulating Psychological Risks in Human-AI Interactions: Real-Case Informed Modeling of AI-Induced Addiction, Anorexia, Depression, Homicide, Psychosis, and Suicide","Chayapatr Archiwaranguprok, Constanze Albrecht, Pattie Maes, Karrie Karahalios, Pat Pataranutaporn",,2025-11-12T01:32:10Z
arxiv,Quantum cognition goes beyond-quantum: modeling the collective participant in psychological measurements,"Diederik Aerts, Massimiliano Sassoli de Bianchi, Sandro Sozzo, Tomas Veloz",,2018-02-24T08:23:11Z
arxiv,Adapting Deep Network Features to Capture Psychological Representations,"Joshua C. Peterson, Joshua T. Abbott, Thomas L. Griffiths",,2016-08-06T23:49:48Z
arxiv,FED-PsyAU: Privacy-Preserving Micro-Expression Recognition via Psychological AU Coordination and Dynamic Facial Motion Modeling,"Jingting Li, Yu Qian, Lin Zhao, Su-Jing Wang",,2025-07-28T06:42:15Z
arxiv,Beyond-Quantum Modeling of Question Order Effects and Response Replicability in Psychological Measurements,"Diederik Aerts, Massimiliano Sassoli de Bianchi",,2015-08-15T02:07:30Z
arxiv,Fitting Prediction Rule Ensembles to Psychological Research Data: An Introduction and Tutorial,"Marjolein Fokkema, Carolin Strobl",,2019-07-11T15:23:31Z
arxiv,Philosophy of Cognitive Science in the Age of Deep Learning,Raphaël Millière,,2024-05-07T06:39:47Z
arxiv,Networks in Cognitive Science,"Andrea Baronchelli, Ramon Ferrer-i-Cancho, Romualdo Pastor-Satorras, Nick Chater, Morten H. Christiansen",,2013-04-24T20:16:21Z
arxiv,Discovering dynamical laws for speech gestures,Sam Kirkham,,2025-04-07T09:03:32Z
arxiv,Vector Symbolic Architectures answer Jackendoff's challenges for cognitive neuroscience,Ross W. Gayler,,2004-12-13T08:00:55Z
